timestamp,emotion_count,emotion,count,z_score,day_of_week
2024-12-01,neutral: 198609,neutral,198609,4.482215376378685,Sunday
2024-12-04,neutral: 230359,neutral,230359,5.254440551912417,Wednesday
2024-12-07,neutral: 220334,neutral,220334,5.010611972865939,Saturday
